"Faculty","Year","Publication"
"Biggs",2024,"H Cheung, AY Song, M Di Marco, D Biggs. 2024. Policy diffusion in global biodiversity conservation: Learning, competition, coercion, and emulation amid US–China great‐power politics, Conservation Letters, e e13026."
"Biggs",2024,"E Kichamu‐Wachira, Z Xu, K Reardon‐Smith, LA Winowiecki, G Ayele, et al.. 2024. Effects of planting basins and farmyard manure addition on soil carbon and nitrogen pools under on‐farm conditions in Makueni county of Kenya, Soil Use and Management 40 (1), e13008."
"Biggs",2024,"AR Braczkowski, N Elliot, A Rwetsiba, T Mudumba, AM Gopalaswamy, et al.. 2024. Insights into large carnivore populations in Uganda: A participatory survey of lions, leopards, and hyenas using spatial capture-recapture, Global Ecology and Conservation 56, e03312."
"Biggs",2024,"A Braczkowski, L Ochse, B Atukwatse, O Cornille, C O'Bryan, P Lindsey, et al.. 2024. Long‐distance swimming by African lions in Uganda, Ecology and Evolution 14 (7), e11597."
"Biggs",2024,"E Kichamu-Wachira, Y Bai, Z Xu, K Reardon-Smith, H Liu, D Biggs. 2024. Beyond conventional farming: exploring the benefits of planting basins with manure on soil quality as reflected in labile organic carbon and nitrogen indicators in Kenya, Journal of Soils and Sediments 24 (1), 402-413."
"Byrnes",2024,"G Del Piccolo, BP VanderBeek, M Faccenda, A Morelli, JS Byrnes. 2024. Imaging Upper‐Mantle Anisotropy with Transdimensional Bayesian Monte Carlo Sampling, Bulletin of the Seismological Society of America 114 (3), 1214-1226."
"Byrnes",2024,"B Shallon, JS Byrnes, HA Ford, G Clark. 2024. Variations in Seismic Attenuation Across Iceland, AGU U24."
"Byrnes",2024,"J Gonzales, JB Gaherty, JS Byrnes, Z Eilon. 2024. Using Machine Learning Models to Detect and Locate Local Intraplate Earthquakes in the Pacific with Ocean-Bottom Seismometer (OBS) Data., AGU U24."
"Byrnes",2024,"M Brounce, S Scoggins, TP Fischer, H Ford, J Byrnes. 2024. Volatiles and redox along the East African Rift, Geochemistry, Geophysics, Geosystems 25 (8), e2024GC011657."
"Byrnes",2024,"EM Golos, B Brunsvik, Z Eilon, KM Fischer, J Byrnes, J Gaherty. 2024. A new view of shear wavespeed and the lithosphere‐asthenosphere boundary in the Southwestern United States, Journal of Geophysical Research: Solid Earth 129 (8), e2024JB029220."
"Byrnes",2024,"A Birkey, HA Ford, M Anderson, JS Byrnes, MJ Bezada, M Shapovalov. 2024. Insight into the Evolution of the Eastern Margin of the Wyoming Craton from Complex, Laterally Variable Shear Wave Splitting, Lithosphere 2024 (3), lithosphere_2024_117."
"Erb",2024,"NP McKay, DS Kaufman, SH Arcusa, HR Kolus, DC Edge, MP Erb, et al.. 2024. The 4.2 ka event is not remarkable in the context of Holocene climate variability, Nature communications 15 (1), 6555."
"Erb",2024,"LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, et al.. 2024. Arctic glacier snowline altitudes rise 150 m over the last 4 decades, The Cryosphere 18 (8), 3591-3611."
"Erb",2024,"CL Hancock, MP Erb, NP McKay, SG Dee, RF Ivanovic. 2024. A global Data Assimilation of Moisture Patterns from 21 000–0 BP (DAMP-21ka) using lake level proxy records, Climate of the Past 20 (12), 2663-2684."
"Erb",2024,"LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, et al.. 2024. Arctic glacier snowline altitudes rise 150 meters over the last four decades, EGUsphere 2024, 1-31."
"Fegyveresi",2024,"A Kurbatov, E Brook, C Buizert, T Carr, J Fegyveresi, T Fudge, et al.. 2024. Hyperspectral imaging system for ice core studies, EGU U24."
"Gaherty",2024,"J Clarke, DJ Shillington, C Regalla, JB Gaherty, J Estep, DA Wiens, et al.. 2024. Controls on bending‐related faulting offshore of the Alaska Peninsula, Geochemistry, Geophysics, Geosystems 25 (3), e2023GC011271."
"Gaherty",2024,"MM Islam, S Wei, P Persaud, MS Steckler, F Tilmann, J Ni, J Gaherty, et al.. 2024. Mantle deformation in the highly oblique indo-burma subduction system inferred from shear wave splitting measurements, Earth and Planetary Science Letters 643, 118895."
"Gaherty",2024,"J Gonzales, JB Gaherty, JS Byrnes, Z Eilon. 2024. Using Machine Learning Models to Detect and Locate Local Intraplate Earthquakes in the Pacific with Ocean-Bottom Seismometer (OBS) Data., AGU U24."
"Gaherty",2024,"EM Golos, B Brunsvik, Z Eilon, KM Fischer, J Byrnes, J Gaherty. 2024. A new view of shear wavespeed and the lithosphere‐asthenosphere boundary in the Southwestern United States, Journal of Geophysical Research: Solid Earth 129 (8), e2024JB029220."
"Gaherty",2024,"T Isse, H Kawakatsu, SM Lee, BY Kuo, JB Gaherty. 2024. Pacific Array: international collaboration for large-scale array experiment in the Pacific basin, EGU U24."
"Haro",2024,"M Shen, R Van Klink, A Sagouis, DK Petsch, DA Abong'o, J Alahuhta, et al.. 2024. FreshLanDiv: a global database of freshwater biodiversity across different land uses, Global Ecology and Biogeography 33 (12), e13917."
"Haro",2024,"M Van Appledorn, KJ Jankowski, K Gahm, S Budd, D Baumann, B Bennie, et al.. 2024. The where and why of large wood occurrence in the Upper Mississippi and Illinois Rivers, Earth Surface Processes and Landforms ."
"Huntzinger",2024,"C Schädel, BM Rogers, DM Lawrence, CD Koven, V Brovkin, EJ Burke, et al.. 2024. Earth system models must include permafrost carbon processes, Nature Climate Change 14 (2), 114-116."
"Huntzinger",2024,"R Lei, J Poe, D Huntzinger, J Liu, S Stich, DF Baker, L Feng, DC Gaeta, et al.. 2024. The Orbiting Carbon Observatory-2 (OCO-2) and in situ CO2 data suggest a larger seasonal amplitude of the terrestrial carbon cycle compared to many dynamic global vegetation models, Remote Sensing of Environment 312, 114326."
"Huntzinger",2024,"MA Xenopoulos, B Bond‐Lamberty, AR Desai, D Huntzinger, et al.. 2024. AGU publications updates authorship policy to foster greater equity and transparency in global research collaborations, AGU Advances 5 (3), e2024AV001298."
"Huntzinger",2024,"JM Poe, DN Huntzinger, J Wells, C Schaedel, WJ Riley, E Schuur, S Maes, et al.. 2024. Pan-Arctic respiration responses with temperature under experimental warming, AGU U24."
"Huntzinger",2024,"AL Gagné-Landmann, C Schaedel, J Wells, JM Poe, H Matthes, B Rogers, et al.. 2024. The State of the Art of Modeling Permafrost Carbon Dynamics, AGU U24."
"Huntzinger",2024,"DN Huntzinger, C Mead, G Bruce, KM Schaefer, MC Mack, W Taylor, et al.. 2024. Polar Explorer: A Place-Based Virtual Learning Environment to Improve STEM Undergraduate Education, AGU U24."
"Huntzinger",2024,"K Gurney, D Huntzinger, T Moiz, N Parker, R Rushforth, BL Ruddell. 2024. Systems and methods for modeling flow of resources in a supply chain, US Patent 12,051,028."
"Huntzinger",2024,"B Bond‐Lamberty, X Feng, D Huntzinger, MA Xenopoulos. 2024. Recognizing and Appreciating the 2023 JGR: Biogeosciences Reviewers, Journal of Geophysical Research: Biogeosciences 129 (5), e2024JG008197."
"Joyal",2024,"J Caster, JB Sankey, TT Sankey, A Kasprak, MA Bowker, T Joyal. 2024. Do topographic changes tell us about variability in aeolian sediment transport and dune mobility? Analysis of monthly to decadal surface changes in a partially vegetated and …, Geomorphology 447, 109021."
"Kaufman",2024,"NP McKay, DS Kaufman, SH Arcusa, HR Kolus, DC Edge, MP Erb, et al.. 2024. The 4.2 ka event is not remarkable in the context of Holocene climate variability, Nature communications 15 (1), 6555."
"Kaufman",2024,"DJ Lunt, BL Otto-Bliesner, C Brierley, A Haywood, GN Inglis, K Izumi, et al.. 2024. Paleoclimate data provide constraints on climate models' large-scale response to past CO2 changes, Communications Earth & Environment 5 (1), 419."
"Kaufman",2024,"K Rubio-Sandoval, DD Ryan, S Richiano, LM Giachetti, A Hollyday, et al.. 2024. Quaternary and Pliocene sea-level changes at Camarones, central Patagonia, Argentina, Quaternary Science Reviews 345, 108999."
"Kaufman",2024,"LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, et al.. 2024. Arctic glacier snowline altitudes rise 150 m over the last 4 decades, The Cryosphere 18 (8), 3591-3611."
"Kaufman",2024,"A Tomašových, SM Kidwell, R Dai, CR Alexander, DS Kaufman, S Edie, et al.. 2024. Bioturbation increases time averaging despite promoting shell disintegration: a test using anthropogenic gradients in sediment accumulation and burrowing on the southern …, Paleobiology 50 (3), 424-451."
"Kaufman",2024,"A Arnold, J Mering, L Chari, C Román‐Palacios, H Li, V Petryshyn, et al.. 2024. Comparative clumped isotope temperature relationships in freshwater carbonates, The Depositional Record ."
"Kaufman",2024,"D Kaufman, V Masson-Delmotte. 2024. Opinion: Distribute paleoscience information across the next Intergovernmental Panel on Climate Change reports, Climate of the Past 20 (11), 2587-2594."
"Kaufman",2024,"D Kaufman, V Masson-Delmotte. 2024. Rapid communication: Distribute paleoscience information across the next IPCC reports, EGUsphere 2024, 1-9."
"Kaufman",2024,"J Bright, C Ebert, C Flores, PG Harnik, JW Huntley, M Kowalewski, et al.. 2024. Comparing MICADAS gas source, direct carbonate, and standard graphite 14C determinations of biogenic carbonate, Radiocarbon 66 (2), 295-305."
"Kaufman",2024,"LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, et al.. 2024. Arctic glacier snowline altitudes rise 150 meters over the last four decades, EGUsphere 2024, 1-31."
"Kaufman",2024,"LM Giachetti, S Richiano, K Rubio‐Sandoval, CB Giachetti, DD Ryan, et al.. 2024. Palaeoenvironmental implications of Late Quaternary bioerosion traces in central Patagonia (Southern Atlantic, Argentina), Journal of Quaternary Science ."
"Kaufman",2024,"L Marshall, D Kaufman, N Bigelow, E Cohen, B Damon, B Finney, et al.. 2024. 15,700 year sediment record of productivity, carbon accumulation and environmental change at Eight Mile Lake, central Alaska; 2020-2023, NSF Arctic Data Center ."
"McKay",2024,"NP McKay, DS Kaufman, SH Arcusa, HR Kolus, DC Edge, MP Erb, et al.. 2024. The 4.2 ka event is not remarkable in the context of Holocene climate variability, Nature communications 15 (1), 6555."
"McKay",2024,"LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, et al.. 2024. Arctic glacier snowline altitudes rise 150 m over the last 4 decades, The Cryosphere 18 (8), 3591-3611."
"McKay",2024,"G Thomson-Laing, JD Howarth, J Atalah, MJ Vandergoes, X Li, et al.. 2024. Sedimentary ancient DNA reveals the impact of anthropogenic land use disturbance and ecological shifts on fish community structure in small lowland lake, Science of The Total Environment 922, 171266."
"McKay",2024,"C Wheeler, JK Pearman, JD Howarth, MJ Vandergoes, K Holt, SA Trewick, et al.. 2024. A paleoecological investigation of recent cyanobacterial blooms and their drivers in two contrasting lakes, Harmful Algae 131, 102563."
"McKay",2024,"AK Arzey, HV McGregor, TR Clark, JM Webster, SE Lewis, J Mallela, et al.. 2024. Coral skeletal proxy records database for the Great Barrier Reef, Australia, Earth System Science Data 16 (10), 4869-4930."
"McKay",2024,"N Scroxton, N McKay. 2024. The Hunt for Holocene Abrupt Climate Change, PLOS Climate 3 (12), e0000547."
"McKay",2024,"CL Hancock, MP Erb, NP McKay, SG Dee, RF Ivanovic. 2024. A global Data Assimilation of Moisture Patterns from 21 000–0 BP (DAMP-21ka) using lake level proxy records, Climate of the Past 20 (12), 2663-2684."
"Mueller",2024,"L Richardson, J Mueller, P Dara, JE Zabel, P Smalley, R Fitch, C Nolte, et al.. 2024. Ecosystem Service Values Provided by National Parks to Residential Property Owners, Ecological Economics 22, 108175."
"Nielsen",2024,"NR Magliocca, CD Sink, JA Devine, ME Fagan, B Aguilar-González, et al.. 2024. A data pedigree system to support geospatial analyses of human-environment interactions in data poor contexts, International Journal of Geographical Information Science 1-24."
"Nielsen",2024,"PJ Murillo-Sandoval, SE Sesnie, MEO Armas, N Magliocca, B Tellman, et al.. 2024. Central America’s agro-ecological suitability for cultivating coca, Erythroxylum spp, Environmental Research Letters 19 (10), 104068."
"Nielsen",2024,"NR Magliocca, NH Carter, JA Devine, EA Nielsen, SE Sesnie. 2024. Jaguar conservation is caught in the crossfire of America's' War on Drugs', Biological Conservation 296, 110687."
"Nielsen",2024,"AD Rodewald, A Lello-Smith, NR Magliocca, K McSweeney, et al.. 2024. Intersection of narco trafficking, enforcement and bird conservation in the Americas, Nature Sustainability 1-5."
"Perry",2024,"S Fernandes, S Athayde, I Harrison, D Perry. 2024. Connectivity and policy confluences: a multi-scalar conservation approach for protecting Amazon riverine ecosystems, Perspectives in Ecology and Conservation ."
"Perry",2024,"L Horne, A Manzanares, N Babin, EA Royse, L Arakawa, E Blavascunas, et al.. 2024. Alignment among environmental programs in higher education: What Food-Energy-Water Nexus concepts are covered in introductory courses?, Journal of Geoscience Education 72 (1), 86-103."
"Perry",2024,"D Perry, S Praskievicz, R McManamay, A Saxena, K Grimm, N Zegre, et al.. 2024. Resilient riverine social–ecological systems: A new paradigm to meet global conservation targets, Wiley Interdisciplinary Reviews: Water 11 (6), e1753."
"Porter",2024,"LA McGuire, FK Rengers, AM Youberg, AN Gorr, OJ Hoch, R Beers, et al.. 2024. Characteristics of debris-flow-prone watersheds and debris-flow-triggering rainstorms following the Tadpole Fire, New Mexico, USA, Natural Hazards and Earth System Sciences 24 (4), 1357-1379."
"Porter",2024,"N Harmon, R Porter, C Rychert, N Schmerr, MM Smith, Z Shen, W Wu, et al.. 2024. Distributed acoustic sensing for future planetary applications: Initial results from the San Francisco volcanic field, a lunar analogue, Earth and Space Science 11 (12), e2024EA003640."
"Porter",2024,"J Giles, N Schmerr, E Bell, V Lekic, J Wang, J Richardson, R Porter, et al.. 2024. Challenges in Imaging the Shallow Subsurface for Lunar Exploration Using Seismic Surface Waves, LPI Contributions 3040, 2652."
"Radonic",2024,"L Castro-Diaz, MC Lopez, S Moore, L Radonic, J Hodbod, E Moran. 2024. Multidimensional and multitemporal energy injustices: Exploring the downstream impacts of the Belo Monte hydropower dam in the Amazon, Energy Research and Social Science 113 (103568)."
"Radonic",2024,"C Jacob, L Radonic, P Jayakodi. 2024. Toxic Homes, Toxic Water: Housing, segregation, and gendered responsibilities for household water insecurity in the American Rust Belt, Routledge Handbook of Gender and Water Governance 121-135."
"Radonic",2024,"E Ilboudo Nebie, A Wutich, H Russell Bernard, K Harper, A Crittenden, et al.. 2024. New Teaching in Participatory Methods for Practicing Anthropology, Practicing Anthropology 1-4."
"Radonic",2024,"M Beresford, L Radonic, M Moritz, M Moghaddam. 2024. Methods Training for Practicing Anthropologists: The NSF CAMP Approach, Practicing Anthropology 1-4."
"Radonic",2024,"C Panetta, L Radonic, S Scheld, AD Storey. 2024. Teaching the City: Exploring Pedagogies of Urban Becoming, Teaching and Learning Anthropology 7 (1)."
"Ranjan",2024,"P Ranjan, M Johnson, M Bernard, H Schmitz, S Harden, L Prokopy. 2024. Exploring the Role of ‘Intermediaries’ between Non-Operating Landowners and Tenant Farmers in Promoting Conservation on Rented Farmland, Environmental Management 73 (4), 713-724."
"Ranjan",2024,"C Gaillard, JM Keany, JL Diehl, P Ranjan, D Biggs. 2024. Mobile apps for 30× 30 equity, Nature Sustainability 1-2."
"Ranjan",2024,"J Lu, SP Church, P Ranjan, EM Usher, LS Prokopy. 2024. Bridging systems thinking mindsets and farm management: The role of agricultural conservation planning in farmers’ adoption of conservation practices, Journal of Rural Studies 111, 103372."
"Ranjan",2024,"V Narain, P Ranjan. 2024. Belling the cat: Designing collective action institutions for natural resource management in the peri-urban interface, Urban Studies 61 (8), 1604-1614."
"Regalla",2024,"J Clarke, DJ Shillington, C Regalla, JB Gaherty, J Estep, DA Wiens, et al.. 2024. Controls on bending‐related faulting offshore of the Alaska Peninsula, Geochemistry, Geophysics, Geosystems 25 (3), e2023GC011271."
"Regalla",2024,"E Schottenfels, C Regalla, Y Nakamura. 2024. Influence of outer-rise faults on shallow décollement heterogeneity and sediment flux at the Japan trench, Seismica 3 (1)."
"Reid",2024,"J Delph, M Reid, D Portner, S Beck, AA Ozacar, WK Schleiffarth, M Darin, et al.. 2024. The Seismic Expression and Tectonomagmatic Evolution of Subduction Termination along the Anatolian Margin, EGU U24."
"Routson",2024,"NP McKay, DS Kaufman, SH Arcusa, HR Kolus, DC Edge, MP Erb, et al.. 2024. The 4.2 ka event is not remarkable in the context of Holocene climate variability, Nature communications 15 (1), 6555."
"Rowe",2024,"AC Burton, C Beirne, KM Gaynor, C Sun, A Granados, ML Allen, et al.. 2024. Mammal responses to global changes in human activity vary by trophic group and landscape, Nature ecology & evolution 8 (5), 924-935."
"Rowe",2024,"R Kays, MH Snider, G Hess, MV Cove, A Jensen, H Shamon, WJ McShea, et al.. 2024. Climate, food and humans predict communities of mammals in the United States, Diversity and Distributions 30 (9), e13900."
"Rowe",2024,"DA Uhey, RW Hofstetter, S Earl, J Holden, T Sprague, H Rowe. 2024. Living on the edge: The sensitivity of arthropods to development and climate along an urban-wildland interface in the Sonoran Desert of central Arizona, Plos one 19 (4), e0297227."
"Rowe",2024,"A Antoninka, H Rowe, J Weser, D Langenfeld, J Brady, T Sprague, N Day. 2024. Comparing greenhouse and field biocrust cultivation methods in the Sonoran Desert, Ecological Solutions and Evidence 5 (4), e12389."
"Rowe",2024,"HI Rowe, C Meredith. 2024. New release! Geospatial tools for Sonoran Desert threats and protection of rare and threatened plant species now freely available, Oryx 58 (4), 423-423."
"Rowe",2024,"FS Albuquerque, H Rowe, A Búrquez, JM Rey Benayas. 2024. Integrating habitat suitability, disturbance, and biotic interactions into the ecological restoration of the saguaro (Carnegiea gigantea) in drylands of the southwest of …, Restoration Ecology, e e14357."
"Sankey",2024,"M Balestra, S Marselis, TT Sankey, C Cabo, X Liang, M Mokroš, X Peng, et al.. 2024. LiDAR Data Fusion to Improve Forest Attribute Estimates: A Review, Current Forestry Reports 1-17."
"Sankey",2024,"TT Sankey, L Tango, J Tatum, JB Sankey. 2024. Forest fire, thinning, and flood in wildland-urban interface: UAV and lidar-based estimate of natural disaster impacts, Landscape Ecology 39 (3), 58."
"Sankey",2024,"J Caster, JB Sankey, TT Sankey, A Kasprak, MA Bowker, T Joyal. 2024. Do topographic changes tell us about variability in aeolian sediment transport and dune mobility? Analysis of monthly to decadal surface changes in a partially vegetated and …, Geomorphology 447, 109021."
"Sankey",2024,"JJ Li, S Ravi, RS Van Pelt, G Wang, JB Sankey, T Sankey, GS Okin. 2024. Fire and human-induced disturbance to the shrub-grass dominance in desert grasslands: What the recovery pace and processes hold?, AGU U24."
"Sankey",2024,"P Teluguntla, PS Thenkabail, J Xiong, A Oliphant, MK Gumma, C Giri, et al.. 2024. Global Food Security Support Analysis Data (GFSAD) Using Remote Sensing in Support of Food and Water Security in the 21st Century: Current Achievements and Future Possibilities, Remote Sensing Handbook, Volume III 187-228."
"Sankey",2024,"LL Tango, TT Sankey, J Leonard, JB Sankey, A Kasprak. 2024. Combining terrestrial lidar with single line transects to investigate geomorphic change: A case study on the Upper Verde River, Arizona, Geomorphology 457, 109231."
"Sankey",2024,"R Lima, AE Springer, T Sankey. 2024. Identifying Potential for Enhanced Groundwater Recharge through Automated Karst Landscape Characterization: A Case Study of Mogollon Rim, Arizona, WaterSciCon n24."
"Shillington",2024,"Z Li, DA Wiens, W Shen, DJ Shillington. 2024. Along‐strike variations of Alaska subduction zone structure and hydration determined from amphibious seismic data, Journal of Geophysical Research: Solid Earth 129 (3), e2023JB027800."
"Shillington",2024,"A Kahrizi, M Delescluse, N Chamot-Rooke, M Pubellier, A Bécel, et al.. 2024. Extensional forearc structures at the transition from Alaska to Aleutian Subduction Zone: slip partitioning, terranes and large earthquakes, Comptes Rendus. Géoscience 356 (S2), 1-25."
"Shillington",2024,"CW Nixon, LC McNeill, RL Gawthorpe, DJ Shillington, G Michas, RE Bell, et al.. 2024. Increasing fault slip rates within the Corinth Rift, Greece: A rapidly localising active rift fault network, Earth and Planetary Science Letters 636, 118716."
"Shillington",2024,"RA Dunn, AB Watts, C Xu, DJ Shillington. 2024. A seismic tomography, gravity, and flexure study of the crust and upper mantle structure across the Hawaiian Ridge: 2. Ka'ena, Journal of Geophysical Research: Solid Earth 129 (2), e2023JB028118."
"Shillington",2024,"J Clarke, DJ Shillington, C Regalla, JB Gaherty, J Estep, DA Wiens, et al.. 2024. Controls on bending‐related faulting offshore of the Alaska Peninsula, Geochemistry, Geophysics, Geosystems 25 (3), e2023GC011271."
"Shillington",2024,"S Sergiou, M Geraga, S Pechlivanidou, RL Gawthorpe, U Ninnemann, et al.. 2024. Stratigraphic and paleoceanographic alternations within a Mediterranean semi-enclosed, syn-rift basin during Marine Isotope Stage 5: The Gulf of Corinth, Greece, Marine Geology 474, 107340."
"Smith",2024,"EC Parrish, AR Carroll, H Gregorich, ME Smith, C Schwaderer. 2024. Watershed-scale provenance heterogeneity within Eocene nonmarine basin fill: Southern Greater Green River Basin, western USA, Bulletin 136 (5-6), 1787-1807."
"Smith",2024,"HE Thoresen, EJ Cassel, ME Smith, DF Stockli, BR Jicha. 2024. Stratigraphic and geochronologic investigation of the Muddy Creek Basin: Implications for the Eocene tectonic evolution of southwest Montana, USA, Geological Society of America Bulletin ."
"Smith",2024,"ST Joerger, ME Smith, D Buscombe, ER Mueller. 2024. Evidence for littoral convergence and sediment delivery to Mattole submarine canyon, Northern California, Frontiers in Earth Science 12, 1377997."
"Souther",2024,"JD Springer, MT Stoddard, KC Rodman, DW Huffman, PJ Fornwalt, et al.. 2024. Increases in understory plant cover and richness persist following restoration treatments in Pinus ponderosa forests, Journal of Applied Ecology 61 (1), 25-35."
"Souther",2024,"C Aslan, S Souther, A Thode, A Youberg, Z Evans. 2024. Measuring and predicting disturbance resilience in ecosystems, with emphasis on fire: A review and meta-analysis, Journal of Environmental Management 372, 123353."
"Souther",2024,"S Souther, N Lyndon. 2024. Leveraging FIA Data to Evaluate Ecocultural Impacts of Climate Change in the Southwest, Analysis (FIA 2022) Science Stakeholder Meeting."
"Souther",2024,"SK Souther, ME Sandor, M Sample, S Gabrielson, CE Aslan. 2024. Bee and butterfly records indicate diversity losses in western and southern North America, but extensive knowledge gaps remain, Plos one 19 (5), e0289742."
"Springer",2024,"D Perry, RK Swanson, AE Springer. 2024. Policy deficiencies and contingency plans: groundwater management implications for baseflow contributions to the Colorado River, Frontiers in Environmental Science 12, 1444015."
"Springer",2024,"R Lima, AE Springer, T Sankey. 2024. Identifying Potential for Enhanced Groundwater Recharge through Automated Karst Landscape Characterization: A Case Study of Mogollon Rim, Arizona, WaterSciCon n24."
"Springer",2024,"C Mroczek, AE Springer. 2024. Focused Recharge and Base Flow Index Estimation Through Base Flow Separation in Arizona, WaterSciCon n24."
"Springer",2024,"R Lima, AE Springer, H Richter, C Mroczek, R Lewis. 2024. Interdisciplinary Approaches to Regional Groundwater Recharge and Land-Use Management I Oral, WaterSciCon n24."
